"Data Import Template"
"Table:","Customer"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Customer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","~","Allowed To Transact With","companies","","","~","Customer Credit Limit","credit_limits","","","","","~","Party Account","accounts","","","","","~","Sales Team","sales_team","","","","","","","~","Portal User","portal_users","",""
"Column Labels:","ID","Customer Name","Customer Type","Created On","Created By","Salutation","Customer Group","Territory","Gender","From Lead","From Opportunity","From Prospect","Account Manager","Billing Currency","Default Company Bank Account","Default Price List","Is Internal Customer","Represents Company","Market Segment","Industry","Customer POS id","Website","Print Language","Customer Details","Customer Primary Address","Primary Address","Customer Primary Contact","Mobile No","Email Id","Tax ID","Tax Category","Tax Withholding Category","Default Payment Terms Template","Loyalty Program","Loyalty Program Tier","Sales Partner","Commission Rate","Allow Sales Invoice Creation Without Sales Order","Allow Sales Invoice Creation Without Delivery Note","Is Frozen","Disabled","","ID","Company","Created On","Created By","","ID","Created On","Created By","Company","Credit Limit","Bypass Credit Limit Check at Sales Order","","ID","Company","Created On","Created By","Default Account","Advance Account","","ID","Sales Person","Created On","Created By","Contribution (%)","Contribution to Net Total","Commission Rate","Incentives","","ID","User","Created On","Created By"
"","""ABADIR PHARMACY""","ABADIR PHARMACY","Company","2024-06-28 12:28:13.154998","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Abay Construction plc""","Abay Construction plc","Company","2024-06-28 12:28:09.689699","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Aberaham Tadesse""","Aberaham Tadesse","Company","2024-06-28 12:28:01.655249","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Aberash Clinic""","Aberash Clinic","Company","2024-06-28 12:28:01.292172","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ABI Wholesale""","ABI Wholesale","Company","2024-06-28 12:28:11.801593","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Abysimak Pharmaceutical Wholesale""","Abysimak Pharmaceutical Wholesale","Company","2024-06-28 12:28:11.444659","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Ada Food Complex Factory plc""","Ada Food Complex Factory plc","Company","2024-06-28 12:28:09.650752","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Adama Regional Lab""","Adama Regional Lab","Company","2024-06-28 12:27:59.650702","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Adama Science & Technology University""","Adama Science & Technology University","Company","2024-06-28 12:28:02.620349","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Adama Steel Factory""","Adama Steel Factory","Company","2024-06-28 12:28:04.730455","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Adazer Secondary School""","Adazer Secondary School","Company","2024-06-28 12:28:02.867927","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Adolina Trading PLC""","Adolina Trading PLC","Company","2024-06-28 12:28:11.038166","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""AEV OIL""","AEV OIL","Company","2024-06-28 12:28:12.778848","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""AFCSH""","AFCSH","Company","2024-06-28 12:28:08.564341","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Afri Flower Plc""","Afri Flower Plc","Company","2024-06-28 12:28:03.363759","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Agar Pharmacy""","Agar Pharmacy","Company","2024-06-28 12:28:10.628137","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""AGTECH Trading Plc""","AGTECH Trading Plc","Company","2024-06-28 12:28:11.398071","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""AH Chemical""","AH Chemical","Company","2024-06-28 12:28:00.940171","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Ahmed Ali Omerdeen""","Ahmed Ali Omerdeen","Company","2024-06-28 12:28:07.587360","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""AHRI""","AHRI","Company","2024-06-28 12:28:02.365022","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Albangate Trading Plc""","Albangate Trading Plc","Company","2024-06-28 12:28:02.401737","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Alcheme Import Plc""","Alcheme Import Plc","Company","2024-06-28 12:28:05.225273","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Alef HMM Wholesale""","Alef HMM Wholesale","Company","2024-06-28 12:27:59.227882","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Alem General Fiber Glass""","Alem General Fiber Glass","Company","2024-06-28 12:28:02.194312","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Alene Admas Import and Export""","Alene Admas Import and Export","Company","2024-06-28 12:28:04.015789","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ALEPH Medicie and Medical Device Wholes""","ALEPH Medicie and Medical Device Wholes","Company","2024-06-28 12:28:11.532793","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Aleph Pharmacy""","Aleph Pharmacy","Company","2024-06-28 12:28:09.477506","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""alpha lab Trading""","alpha lab Trading","Company","2024-06-28 12:28:10.968640","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Alphaget Lab Trading Plc""","Alphaget Lab Trading Plc","Company","2024-06-28 12:28:11.006137","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""AM Pharmaceutical Import""","AM Pharmaceutical Import","Company","2024-06-28 12:28:12.570143","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Amago Pharmacy""","Amago Pharmacy","Company","2024-06-28 12:28:02.545960","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Amazon Pharmaceutical""","Amazon Pharmaceutical","Company","2024-06-28 12:28:05.164979","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Ambo Clinic""","Ambo Clinic","Company","2024-06-28 12:28:13.735333","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Ambo Mineral Water S.C""","Ambo Mineral Water S.C","Company","2024-06-28 12:28:02.323017","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Amenu Berhanu Lebeta""","Amenu Berhanu Lebeta","Company","2024-06-28 12:28:08.229463","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Amora Secondary School""","Amora Secondary School","Company","2024-06-28 12:28:02.780073","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Amore Import Plc""","Amore Import Plc","Company","2024-06-28 12:27:59.752110","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""AMRAN plc""","AMRAN plc","Company","2024-06-28 12:28:13.109926","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Analaytical Chemical""","Analaytical Chemical","Company","2024-06-28 12:28:12.436379","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Arada Giorgis Specialized Medical Cente""","Arada Giorgis Specialized Medical Cente","Company","2024-06-28 12:28:08.659458","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ARBAMINCH HEALTH SCIENCE COLLEGE""","ARBAMINCH HEALTH SCIENCE COLLEGE","Company","2024-06-28 12:28:13.012296","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Arbaminch University""","Arbaminch University","Company","2024-06-28 12:28:05.282486","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Arsho Medical Laboratory Plc""","Arsho Medical Laboratory Plc","Company","2024-06-28 12:28:08.328959","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Asham Pharmacy""","Asham Pharmacy","Company","2024-06-28 12:28:07.893077","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Asku Plc""","Asku Plc","Company","2024-06-28 12:27:59.377839","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Astra Lab Trading""","Astra Lab Trading","Company","2024-06-28 12:28:06.680267","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Astu Enjera Bakery PLC""","Astu Enjera Bakery PLC","Company","2024-06-28 12:28:05.106837","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Atomic EMS Plc""","Atomic EMS Plc","Company","2024-06-28 12:27:59.330601","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Awash Pharmacy""","Awash Pharmacy","Company","2024-06-28 12:28:05.934109","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Awash Wine""","Awash Wine","Company","2024-06-28 12:28:08.941874","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Ayuda En Accion Ethiopia (AeAE)""","Ayuda En Accion Ethiopia (AeAE)","Company","2024-06-28 12:28:13.672084","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Azmud Pharmacy""","Azmud Pharmacy","Company","2024-06-28 12:28:01.326180","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Balezaf Alcohol & Liquors Factory Plc""","Balezaf Alcohol & Liquors Factory Plc","Company","2024-06-28 12:28:07.377891","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Banamic Trading plc""","Banamic Trading plc","Company","2024-06-28 12:28:12.698221","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Basic Pharmaceutical""","Basic Pharmaceutical","Company","2024-06-28 12:28:13.299180","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Bati General Hospital""","Bati General Hospital","Company","2024-06-28 12:28:12.616113","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Beamlake Pharmacy""","Beamlake Pharmacy","Company","2024-06-28 12:28:11.699461","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""BEES General Trading""","BEES General Trading","Company","2024-06-28 12:28:04.772255","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Bees General Trading plc""","Bees General Trading plc","Company","2024-06-28 12:28:13.360466","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Ben Educational""","Ben Educational","Company","2024-06-28 12:28:08.969335","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Berbero Petro Chemical Industry Plc""","Berbero Petro Chemical Industry Plc","Company","2024-06-28 12:28:07.550445","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Berhan Pharmacy""","Berhan Pharmacy","Company","2024-06-28 12:28:04.864402","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Berhane Bekele""","Berhane Bekele","Company","2024-06-28 12:28:14.125923","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Bete Soap & Detergent Enterprise""","Bete Soap & Detergent Enterprise","Company","2024-06-28 12:28:07.123117","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Betezata Labratory""","Betezata Labratory","Company","2024-06-28 12:28:10.141690","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Bethelhem Secondary School""","Bethelhem Secondary School","Company","2024-06-28 12:28:02.695885","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""BGI Health Ethiopia Plc""","BGI Health Ethiopia Plc","Company","2024-06-28 12:28:07.976632","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""BGRS Water, mineral & E/R/ Dev't office""","BGRS Water, mineral & E/R/ Dev't office","Company","2024-06-28 12:28:03.805338","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Biniam Mengiam Mengistu""","Biniam Mengiam Mengistu","Company","2024-06-28 12:28:08.600380","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""BIOCHEM LAB TRADING""","BIOCHEM LAB TRADING","Company","2024-06-28 12:28:13.453264","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Biosafe Trading PLC""","Biosafe Trading PLC","Company","2024-06-28 12:28:11.217308","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Biotech Trading Plc""","Biotech Trading Plc","Company","2024-06-28 12:28:07.678358","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Birhanu Tadesse Imort""","Birhanu Tadesse Imort","Company","2024-06-28 12:28:08.755596","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
