"Data Import Template"
"Table:","Account"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Account","","","","","","","","","","","","","","","",""
"Column Labels:","ID","Account Name","Company","Parent Account","Created On","Created By","Disable","Account Number","Is Group","Root Type","Report Type","Currency","Account Type","Rate","Frozen","Balance must be","Include in gross"
"","""1400 - Stock Assets - GI""","Stock Assets","GETSON INDUSTRIES","1100-1600 - Current Assets - GI","2024-06-28 12:06:46.416738","Administrator",0,"1400",1,"Asset","Balance Sheet","ETB","Stock",0.0,"No","",0
"","""1410 - Stock In Hand - GI""","Stock In Hand","GETSON INDUSTRIES","1400 - Stock Assets - GI","2024-06-28 12:06:46.425740","Administrator",0,"1410",0,"Asset","Balance Sheet","ETB","Stock",0.0,"No","",0
"","""1500 - Tax Assets - GI""","Tax Assets","GETSON INDUSTRIES","1100-1600 - Current Assets - GI","2024-06-28 12:06:46.441365","Administrator",0,"1500",1,"Asset","Balance Sheet","ETB","",0.0,"No","",0
"","""Cash In Hand - GI""","Cash In Hand","GETSON INDUSTRIES","1100-1600 - Current Assets - GI","2024-06-28 12:06:46.331633","Administrator",0,"",1,"Asset","Balance Sheet","ETB","Cash",0.0,"No","",0
"","""1010 - Cash on Hand - GI""","Cash on Hand","GETSON INDUSTRIES","Cash In Hand - GI","2024-06-28 12:06:46.341912","Administrator",0,"1010",0,"Asset","Balance Sheet","ETB","Cash",0.0,"No","",0
"","""Bank Accounts - GI""","Bank Accounts","GETSON INDUSTRIES","1100-1600 - Current Assets - GI","2024-06-28 12:06:46.321172","Administrator",0,"",1,"Asset","Balance Sheet","ETB","Bank",0.0,"No","",0
"","""Bank Account - GI""","Bank Account","GETSON INDUSTRIES","Bank Accounts - GI","2024-06-28 12:07:04.467880","Administrator",0,"",0,"Asset","Balance Sheet","ETB","Bank",0.0,"No","",0
"","""1015 - SIKET BANK - GI""","SIKET BANK","GETSON INDUSTRIES","Bank Accounts - GI","2024-07-03 12:42:58.838996","wuberst.sisay@fineto.fi",0,"1015",0,"Asset","Balance Sheet","ETB","",0.0,"No","",0
"","""1025 - Checking Account - Dashen Bank	Cash - GI""","Checking Account - Dashen Bank	Cash","GETSON INDUSTRIES","Bank Accounts - GI","2024-07-03 12:44:04.213363","wuberst.sisay@fineto.fi",0,"1025",0,"Asset","Balance Sheet","ETB","",0.0,"No","",0
"","""1030 - Checking Account - CBE	Cash - GI""","Checking Account - CBE	Cash	","GETSON INDUSTRIES","Bank Accounts - GI","2024-07-03 12:45:19.072762","wuberst.sisay@fineto.fi",0,"1030",0,"Asset","Balance Sheet","ETB","",0.0,"No","",0
"","""1036 - Abysinia Bank  11 - GI""","Abysinia Bank  11		","GETSON INDUSTRIES","Bank Accounts - GI","2024-07-03 12:47:05.536678","wuberst.sisay@fineto.fi",0,"1036",0,"Asset","Balance Sheet","ETB","",0.0,"No","",0
"","""1035 - Checking Account-Abysinia Bank - GI""","Checking Account-Abysinia Bank","GETSON INDUSTRIES","Bank Accounts - GI","2024-07-03 12:46:25.363293","wuberst.sisay@fineto.fi",0,"1035",0,"Asset","Balance Sheet","ETB","",0.0,"No","",0
"","""1040 - Checking Account - United Ban - GI""","Checking Account - United Ban","GETSON INDUSTRIES","Bank Accounts - GI","2024-07-03 15:59:10.345564","Administrator",0,"1040",0,"Asset","Balance Sheet","ETB","",0.0,"No","",0
"","""1045 - Checking Account - Birhan Bank - GI""","Checking Account - Birhan Bank","GETSON INDUSTRIES","Bank Accounts - GI","2024-07-03 16:00:40.319675","Administrator",0,"1045",0,"Asset","Balance Sheet","ETB","",0.0,"No","",0
"","""1055 - Checking Account- Lion Bank - GI""","Checking Account- Lion Bank		","GETSON INDUSTRIES","Bank Accounts - GI","2024-07-03 16:05:10.502248","Administrator",0,"1055",0,"Asset","Balance Sheet","ETB","",0.0,"No","",0
"","""1060 - Checking Account - Oromiya Int - GI""","Checking Account - Oromiya Int	","GETSON INDUSTRIES","Bank Accounts - GI","2024-07-03 16:05:39.791537","Administrator",0,"1060",0,"Asset","Balance Sheet","ETB","",0.0,"No","",0
"","""1065 - Checking Account- CBE-1 - GI""","Checking Account- CBE-1		","GETSON INDUSTRIES","Bank Accounts - GI","2024-07-03 16:06:02.696815","Administrator",0,"1065",0,"Asset","Balance Sheet","ETB","",0.0,"No","",0
"","""1070 - Checking Account - NIB Bank - GI""","Checking Account - NIB Bank		","GETSON INDUSTRIES","Bank Accounts - GI","2024-07-03 16:06:29.197964","Administrator",0,"1070",0,"Asset","Balance Sheet","ETB","",0.0,"No","",0
"","""1075 - Checking Account - Wegagen - GI""","Checking Account - Wegagen		","GETSON INDUSTRIES","Bank Accounts - GI","2024-07-03 16:07:12.393679","Administrator",0,"1075",0,"Asset","Balance Sheet","ETB","",0.0,"No","",0
"","""1080 - cheking in -Zemen Bank - GI""","cheking in -Zemen Bank		","GETSON INDUSTRIES","Bank Accounts - GI","2024-07-03 16:07:41.066581","Administrator",0,"1080",0,"Asset","Balance Sheet","ETB","",0.0,"No","",0
"","""1085 - Cheking Account -Abay Bank - GI""","Cheking Account -Abay Bank		","GETSON INDUSTRIES","Bank Accounts - GI","2024-07-03 18:12:28.463301","eden.adane99@gmail.com",0,"1085",0,"Asset","Balance Sheet","ETB","",0.0,"No","",0
"","""1090 - COOP Bank	Cash - GI""","COOP Bank	Cash	","GETSON INDUSTRIES","Bank Accounts - GI","2024-07-03 18:13:26.359909","eden.adane99@gmail.com",0,"1090",0,"Asset","Balance Sheet","ETB","",0.0,"No","",0
"","""1095 - Ahadu Bank	Cash - GI""","Ahadu Bank	Cash	","GETSON INDUSTRIES","Bank Accounts - GI","2024-07-03 18:13:56.011865","eden.adane99@gmail.com",0,"1095",0,"Asset","Balance Sheet","ETB","",0.0,"No","",0
"","""1020 - Checking Account - Awash Bank - GI""","Checking Account - Awash Bank","GETSON INDUSTRIES","Bank Accounts - GI","2024-07-03 23:53:04.115825","Administrator",0,"1020",0,"Asset","Balance Sheet","ETB","Bank",0.0,"No","",0
"","""1050 - Checking Account-Dashen Bank 1 - GI""","Checking Account-Dashen Bank 1","GETSON INDUSTRIES","Bank Accounts - GI","2024-07-04 00:31:07.012287","Administrator",0,"1050",0,"Asset","Balance Sheet","ETB","",0.0,"No","",0
"","""1700 - Fixed Assets - GI""","Fixed Assets","GETSON INDUSTRIES","1000 - Application of Funds (Assets) - GI","2024-06-28 12:06:46.451205","Administrator",0,"1700",1,"Asset","Balance Sheet","ETB","",0.0,"No","",0
"","""1500 - Property and Equipment - GI""","Property and Equipment","GETSON INDUSTRIES","1700 - Fixed Assets - GI","2024-07-03 21:22:07.090861","Administrator",0,"1500	",0,"Asset","Balance Sheet","ETB","Fixed Asset",0.0,"No","",0
"","""1501 - Computer & Accessories - GI""","Computer & Accessories	","GETSON INDUSTRIES","1700 - Fixed Assets - GI","2024-07-03 21:24:43.726166","Administrator",0,"1501	",0,"Asset","Balance Sheet","ETB","Fixed Asset",0.0,"No","",0
"","""1503 - Automobiles - GI""","Automobiles","GETSON INDUSTRIES","1700 - Fixed Assets - GI","2024-07-03 21:27:17.430081","Administrator",0,"1503	",0,"Asset","Balance Sheet","ETB","Fixed Asset",0.0,"No","",0
"","""1901 - Accum. Depreciation - Comp&Acc - GI""","Accum. Depreciation - Comp&Acc","GETSON INDUSTRIES","1700 - Fixed Assets - GI","2024-07-03 21:33:03.770458","Administrator",0,"1901",0,"Asset","Balance Sheet","ETB","Accumulated Depreciation",0.0,"No","",0
"","""1902 - Accum. Depreciation - Furnitur - GI""","Accum. Depreciation - Furnitur","GETSON INDUSTRIES","1700 - Fixed Assets - GI","2024-07-03 21:36:10.029395","Administrator",0,"1902	",0,"Asset","Balance Sheet","ETB","",0.0,"No","",0
"","""1903 - Accum. Depreciation - Automobi - GI""","Accum. Depreciation - Automobi","GETSON INDUSTRIES","1700 - Fixed Assets - GI","2024-07-03 21:37:25.549111","Administrator",0,"1903",0,"Asset","Balance Sheet","ETB","Accumulated Depreciation",0.0,"No","",0
"","""1710 - Capital Equipments - GI""","Capital Equipments","GETSON INDUSTRIES","1700 - Fixed Assets - GI","2024-06-28 12:06:46.461028","Administrator",0,"1710",0,"Asset","Balance Sheet","ETB","Fixed Asset",0.0,"No","",0
"","""1720 - Electronic Equipments - GI""","Electronic Equipments","GETSON INDUSTRIES","1700 - Fixed Assets - GI","2024-06-28 12:06:46.485110","Administrator",0,"1720",0,"Asset","Balance Sheet","ETB","Fixed Asset",0.0,"No","",0
"","""1740 - Office Equipments - GI""","Office Equipments","GETSON INDUSTRIES","1700 - Fixed Assets - GI","2024-06-28 12:06:46.511117","Administrator",0,"1740",0,"Asset","Balance Sheet","ETB","Fixed Asset",0.0,"No","",0
"","""1750 - Plants and Machineries - GI""","Plants and Machineries","GETSON INDUSTRIES","1700 - Fixed Assets - GI","2024-06-28 12:06:46.519834","Administrator",0,"1750",0,"Asset","Balance Sheet","ETB","Fixed Asset",0.0,"No","",0
"","""1760 - Buildings - GI""","Buildings","GETSON INDUSTRIES","1700 - Fixed Assets - GI","2024-06-28 12:06:46.529070","Administrator",0,"1760",0,"Asset","Balance Sheet","ETB","Fixed Asset",0.0,"No","",0
"","""1770 - Softwares - GI""","Softwares","GETSON INDUSTRIES","1700 - Fixed Assets - GI","2024-06-28 12:06:46.537859","Administrator",0,"1770",0,"Asset","Balance Sheet","ETB","Fixed Asset",0.0,"No","",0
"","""1790 - CWIP Account - GI""","CWIP Account","GETSON INDUSTRIES","1700 - Fixed Assets - GI","2024-06-28 12:06:46.555489","Administrator",0,"1790",0,"Asset","Balance Sheet","ETB","Capital Work in Progress",0.0,"No","",0
"","""1502 - Furnitures and Fixtures - GI""","Furnitures and Fixtures","GETSON INDUSTRIES","1700 - Fixed Assets - GI","2024-06-28 12:06:46.499784","Administrator",0,"1502",0,"Asset","Balance Sheet","ETB","Fixed Asset",0.0,"No","",0
"","""1900 - Accum. Depreciation - Prop&Eqt - GI""","Accum. Depreciation - Prop&Eqt","GETSON INDUSTRIES","1700 - Fixed Assets - GI","2024-06-28 12:06:46.546391","Administrator",0,"1900",0,"Asset","Balance Sheet","ETB","Accumulated Depreciation",0.0,"No","",0
"","""1200 - Inventory - GI""","Inventory","GETSON INDUSTRIES","1700 - Fixed Assets - GI","2024-07-04 06:47:30.566751","Administrator",0,"1200",0,"Asset","Balance Sheet","ETB","",0.0,"No","",0
"","""1800 - Investments - GI""","Investments","GETSON INDUSTRIES","1000 - Application of Funds (Assets) - GI","2024-06-28 12:06:46.564626","Administrator",0,"1800",1,"Asset","Balance Sheet","ETB","",0.0,"No","",0
"","""Temporary Accounts - GI""","Temporary Accounts","GETSON INDUSTRIES","1000 - Application of Funds (Assets) - GI","2024-06-28 12:06:46.573768","Administrator",0,"",1,"Asset","Balance Sheet","ETB","",0.0,"No","",0
"","""1910 - Temporary Opening - GI""","Temporary Opening","GETSON INDUSTRIES","Temporary Accounts - GI","2024-06-28 12:06:46.583657","Administrator",0,"1910",0,"Asset","Balance Sheet","ETB","Temporary",0.0,"No","",0
"","""1210 - Goods In Transit - GI""","Goods In Transit","GETSON INDUSTRIES","Temporary Accounts - GI","2024-07-03 21:12:35.914181","Administrator",0,"1210	",0,"Asset","Balance Sheet","ETB","",0.0,"No","",0
"","""Source of Funds (Liabilities) - GI""","Source of Funds (Liabilities)","GETSON INDUSTRIES","","2024-06-28 12:06:46.999424","Administrator",0,"",1,"Liability","Balance Sheet","ETB","",0.0,"No","",0
"","""2100-2400 - Current Liabilities - GI""","Current Liabilities","GETSON INDUSTRIES","Source of Funds (Liabilities) - GI","2024-06-28 12:06:47.009543","Administrator",0,"2100-2400",1,"Liability","Balance Sheet","ETB","",0.0,"No","",0
"","""Stock Holder - GI""","Stock Holder ","GETSON INDUSTRIES","2100-2400 - Current Liabilities - GI","2024-07-03 22:15:57.484653","Administrator",0,"",1,"Liability","Balance Sheet","ETB","Liability",0.0,"No","",0
"","""2350 - Stock Holder Payable - Kirubel - GI""","Stock Holder Payable - Kirubel","GETSON INDUSTRIES","Stock Holder - GI","2024-07-03 22:16:48.924448","Administrator",0,"2350",0,"Liability","Balance Sheet","ETB","Liability",0.0,"No","",0
"","""2351 - Stock Holder Payable - Surafel - GI""","Stock Holder Payable - Surafel","GETSON INDUSTRIES","Stock Holder - GI","2024-07-03 22:24:48.564581","Administrator",0,"2351",0,"Liability","Balance Sheet","ETB","Liability",0.0,"No","",0
"","""2352 - Stock Holder Payable - Birhane - GI""","Stock Holder Payable - Birhane","GETSON INDUSTRIES","Stock Holder - GI","2024-07-03 22:26:49.782729","Administrator",0,"2352	",0,"Liability","Balance Sheet","ETB","Current Liability",0.0,"No","",0
"","""2353 - Stock Holder Payable - Yemsera - GI""","Stock Holder Payable - Yemsera","GETSON INDUSTRIES","Stock Holder - GI","2024-07-03 22:28:19.953734","Administrator",0,"2353	",0,"Liability","Balance Sheet","ETB","Current Liability",0.0,"No","",0
"","""2360 - Salary Payable - GI""","Salary Payable","GETSON INDUSTRIES","Stock Holder - GI","2024-07-03 22:31:27.527081","Administrator",0,"2360	",0,"Liability","Balance Sheet","ETB","Current Liability",0.0,"No","",0
"","""2100 - Accounts Payable - GI""","Accounts Payable","GETSON INDUSTRIES","2100-2400 - Current Liabilities - GI","2024-06-28 12:06:47.021655","Administrator",0,"2100",1,"Liability","Balance Sheet","ETB","",0.0,"No","",0
"","""2120 - Payroll Payable - GI""","Payroll Payable","GETSON INDUSTRIES","2100 - Accounts Payable - GI","2024-06-28 12:06:47.053104","Administrator",0,"2120",0,"Liability","Balance Sheet","ETB","",0.0,"No","",0
"","""2000 - Accounts Payable - GI""","Accounts Payable","GETSON INDUSTRIES","2100 - Accounts Payable - GI","2024-06-28 12:06:47.033813","Administrator",0,"2000",0,"Liability","Balance Sheet","ETB","Payable",0.0,"No","",0
"","""2200 - Stock Liabilities - GI""","Stock Liabilities","GETSON INDUSTRIES","2100-2400 - Current Liabilities - GI","2024-06-28 12:06:47.075845","Administrator",0,"2200",1,"Liability","Balance Sheet","ETB","",0.0,"No","",0
"","""2400 - Advance Customer Deposits - GI""","Advance Customer Deposits","GETSON INDUSTRIES","2200 - Stock Liabilities - GI","2024-07-03 22:39:10.406256","Administrator",0,"2400	",0,"Liability","Balance Sheet","ETB","Liability",0.0,"No","",0
"","""2210 - Stock Received But Not Billed - GI""","Stock Received But Not Billed","GETSON INDUSTRIES","2200 - Stock Liabilities - GI","2024-06-28 12:06:47.089136","Administrator",0,"2210",0,"Liability","Balance Sheet","ETB","Stock Received But Not Billed",0.0,"No","",0
"","""2211 - Asset Received But Not Billed - GI""","Asset Received But Not Billed","GETSON INDUSTRIES","2200 - Stock Liabilities - GI","2024-06-28 12:06:47.124057","Administrator",0,"2211",0,"Liability","Balance Sheet","ETB","Asset Received But Not Billed",0.0,"No","",0
"","""2300 - Duties and Taxes - GI""","Duties and Taxes","GETSON INDUSTRIES","2100-2400 - Current Liabilities - GI","2024-06-28 12:06:47.135550","Administrator",0,"2300",1,"Liability","Balance Sheet","ETB","Tax",0.0,"No","",0
"","""2310 - VAT Payable - GI""","VAT Payable","GETSON INDUSTRIES","2300 - Duties and Taxes - GI","2024-06-28 12:06:47.910039","Administrator",0,"2310",0,"Liability","Balance Sheet","ETB","Liability",15.0,"No","",0
"","""2320 - Pension Tax Payable - GI""","Pension Tax Payable","GETSON INDUSTRIES","2300 - Duties and Taxes - GI","2024-07-03 22:08:52.061551","Administrator",0,"2320	",0,"Liability","Balance Sheet","ETB","Current Liability",0.0,"No","",0
"","""2330 - Payroll Taxes Payable - GI""","Payroll Taxes Payable","GETSON INDUSTRIES","2300 - Duties and Taxes - GI","2024-07-03 22:10:08.456730","Administrator",0,"2330	",0,"Liability","Balance Sheet","ETB","Current Liability",0.0,"No","",0
"","""2340 - WHT Payable - GI""","WHT Payable","GETSON INDUSTRIES","2300 - Duties and Taxes - GI","2024-07-03 22:11:54.619671","Administrator",0,"2340",0,"Liability","Balance Sheet","ETB","Current Liability",0.0,"No","",0
"","""2370 - Custom Valuation Difference - GI""","Custom Valuation Difference","GETSON INDUSTRIES","2300 - Duties and Taxes - GI","2024-07-03 22:35:22.634824","Administrator",0,"2370	",0,"Liability","Balance Sheet","ETB","Liability",0.0,"No","",0
"","""2380 - Income Taxes Payable - GI""","Income Taxes Payable","GETSON INDUSTRIES","2300 - Duties and Taxes - GI","2024-07-03 22:36:18.489330","Administrator",0,"2380	",0,"Liability","Balance Sheet","ETB","",0.0,"No","",0
"","""2390 - DIVIDEND Payable - GI""","DIVIDEND Payable","GETSON INDUSTRIES","2300 - Duties and Taxes - GI","2024-07-03 22:37:26.176966","Administrator",0,"2390	",0,"Liability","Balance Sheet","ETB","Liability",0.0,"No","",0
"","""2400 - Loans (Liabilities) - GI""","Loans (Liabilities)","GETSON INDUSTRIES","2100-2400 - Current Liabilities - GI","2024-06-28 12:06:47.170932","Administrator",0,"2400",1,"Liability","Balance Sheet","ETB","",0.0,"No","",0
"","""2500 - Current Portion Long-Term Debt - GI""","Current Portion Long-Term Debt","GETSON INDUSTRIES","2400 - Loans (Liabilities) - GI","2024-07-03 22:40:07.583486","Administrator",0,"2500	",0,"Liability","Balance Sheet","ETB","Liability",0.0,"No","",0
"","""2700 - Long Term Debt-Noncurrent - GI""","Long Term Debt-Noncurrent","GETSON INDUSTRIES","2400 - Loans (Liabilities) - GI","2024-07-03 22:40:58.527995","Administrator",0,"2700	",0,"Liability","Balance Sheet","ETB","Liability",0.0,"No","",0
"","""2410 - Secured Loans - GI""","Secured Loans","GETSON INDUSTRIES","2400 - Loans (Liabilities) - GI","2024-06-28 12:06:47.183355","Administrator",0,"2410",0,"Liability","Balance Sheet","ETB","",0.0,"No","",0
"","""2420 - Unsecured Loans - GI""","Unsecured Loans","GETSON INDUSTRIES","2400 - Loans (Liabilities) - GI","2024-06-28 12:06:47.205297","Administrator",0,"2420",0,"Liability","Balance Sheet","ETB","",0.0,"No","",0
"","""2430 - Bank Overdraft Account - GI""","Bank Overdraft Account","GETSON INDUSTRIES","2400 - Loans (Liabilities) - GI","2024-06-28 12:06:47.218261","Administrator",0,"2430",0,"Liability","Balance Sheet","ETB","",0.0,"No","",0
"","""3000 - Equity - GI""","Equity","GETSON INDUSTRIES","","2024-06-28 12:06:47.229983","Administrator",0,"3000",1,"Equity","Balance Sheet","ETB","",0.0,"No","",0
"","""Equity-does not close - GI""","Equity-does not close","GETSON INDUSTRIES","3000 - Equity - GI","2024-07-03 22:47:24.811594","Administrator",0,"",1,"Equity","Balance Sheet","ETB","Equity",0.0,"No","",0
"","""3920 - Paid-in Capital - Kirubel - GI""","Paid-in Capital - Kirubel","GETSON INDUSTRIES","Equity-does not close - GI","2024-07-03 22:48:05.395344","Administrator",0,"3920	",0,"Equity","Balance Sheet","ETB","Equity",0.0,"No","",0
"","""3921 - Paid-in Capital - Surafel - GI""","Paid-in Capital - Surafel","GETSON INDUSTRIES","Equity-does not close - GI","2024-07-03 22:49:18.045791","Administrator",0,"3921	",0,"Equity","Balance Sheet","ETB","Equity",0.0,"No","",0
"","""3922 - Paid-in Capital - Birhane - GI""","Paid-in Capital - Birhane","GETSON INDUSTRIES","Equity-does not close - GI","2024-07-03 22:50:10.964734","Administrator",0,"3922	",0,"Equity","Balance Sheet","ETB","Equity",0.0,"No","",0
"","""3923 - Paid-in Capital - Yemeserach - GI""","Paid-in Capital - Yemeserach","GETSON INDUSTRIES","Equity-does not close - GI","2024-07-03 22:50:58.813138","Administrator",0,"3923	",0,"Equity","Balance Sheet","ETB","Equity",0.0,"No","",0
"","""3930 - Legal Resreve - GI""","Legal Resreve","GETSON INDUSTRIES","Equity-does not close - GI","2024-07-03 22:52:23.132938","Administrator",0,"3930	",0,"Equity","Balance Sheet","ETB","Equity",0.0,"No","",0
"","""3940 - Dividends Paid - GI""","Dividends Paid","GETSON INDUSTRIES","Equity-does not close - GI","2024-07-03 22:53:38.847914","Administrator",0,"3940	",0,"Equity","Balance Sheet","ETB","Equity",0.0,"No","",0
"","""3100 - Capital Stock - GI""","Capital Stock","GETSON INDUSTRIES","3000 - Equity - GI","2024-06-28 12:06:47.240293","Administrator",0,"3100",0,"Equity","Balance Sheet","ETB","Equity",0.0,"No","",0
"","""3200 - Dividends Paid - GI""","Dividends Paid","GETSON INDUSTRIES","3000 - Equity - GI","2024-06-28 12:06:47.255996","Administrator",0,"3200",0,"Equity","Balance Sheet","ETB","Equity",0.0,"No","",0
"","""3300 - Opening Balance Equity - GI""","Opening Balance Equity","GETSON INDUSTRIES","3000 - Equity - GI","2024-06-28 12:06:47.265634","Administrator",0,"3300",0,"Equity","Balance Sheet","ETB","Equity",0.0,"No","",0
"","""3910 - Retained Earnings - GI""","Retained Earnings","GETSON INDUSTRIES","3000 - Equity - GI","2024-06-28 12:06:47.274978","Administrator",0,"3910",0,"Equity","Balance Sheet","ETB","Equity",0.0,"No","",0
"","""Income - GI""","Income","GETSON INDUSTRIES","","2024-06-28 12:06:46.927320","Administrator",0,"",1,"Income","Profit and Loss","ETB","",0.0,"No","",0
"","""4100 - Direct Income - GI""","Direct Income","GETSON INDUSTRIES","Income - GI","2024-06-28 12:06:46.938220","Administrator",0,"4100",1,"Income","Profit and Loss","ETB","",0.0,"No","",0
"","""4120 - Service - GI""","Service","GETSON INDUSTRIES","4100 - Direct Income - GI","2024-06-28 12:06:46.973155","Administrator",0,"4120",0,"Income","Profit and Loss","ETB","",0.0,"No","",0
"","""4000 - Sales Income - GI""","Sales Income","GETSON INDUSTRIES","4100 - Direct Income - GI","2024-06-28 12:06:46.953709","Administrator",0,"4000",0,"Income","Profit and Loss","ETB","",0.0,"No","",0
"","""4200 - Indirect Income - GI""","Indirect Income","GETSON INDUSTRIES","Income - GI","2024-06-28 12:06:46.987765","Administrator",0,"4200",1,"Income","Profit and Loss","ETB","",0.0,"No","",0
"","""4100 - Interest Income - GI""","Interest Income","GETSON INDUSTRIES","4200 - Indirect Income - GI","2024-07-03 22:56:54.893976","Administrator",0,"4100	",0,"Income","Profit and Loss","ETB","Income Account",0.0,"No","",0
"","""4200 - Other Income - GI""","Other Income	","GETSON INDUSTRIES","4200 - Indirect Income - GI","2024-07-03 22:57:49.300363","Administrator",0," 4200	",0,"Income","Profit and Loss","ETB","Income Account",0.0,"No","",0
"","""4900 - Sales Discounts	Income - GI""","Sales Discounts	Income","GETSON INDUSTRIES","4200 - Indirect Income - GI","2024-07-03 22:59:30.789394","Administrator",0,"4900	",0,"Income","Profit and Loss","ETB","Income Account",0.0,"No","",0
"","""Expenses - GI""","Expenses","GETSON INDUSTRIES","","2024-06-28 12:06:46.600139","Administrator",0,"",1,"Expense","Profit and Loss","ETB","",0.0,"No","",0
